Date,Temperature,Humidity,Condition
2025-07-17 09:00:00,18.31,70,Clouds
2025-07-17 12:00:00,20.33,58,Clouds
2025-07-17 15:00:00,24.24,54,Rain
2025-07-17 18:00:00,24.38,57,Clouds
2025-07-17 21:00:00,23.38,63,Clouds
2025-07-18 00:00:00,20.95,74,Clouds
2025-07-18 03:00:00,19.75,80,Clouds
2025-07-18 06:00:00,20.07,77,Clouds
2025-07-18 09:00:00,24.79,53,Clouds
2025-07-18 12:00:00,29.24,37,Clouds
2025-07-18 15:00:00,31.16,30,Clouds
2025-07-18 18:00:00,29.11,36,Clouds
2025-07-18 21:00:00,20.12,84,Rain
2025-07-19 00:00:00,19.27,89,Rain
2025-07-19 03:00:00,18.86,90,Rain
2025-07-19 06:00:00,18.8,86,Clouds
2025-07-19 09:00:00,22.54,60,Clouds
2025-07-19 12:00:00,26.36,43,Rain
2025-07-19 15:00:00,26.98,38,Clouds
2025-07-19 18:00:00,23.47,50,Clouds
2025-07-19 21:00:00,18.58,67,Rain
2025-07-20 00:00:00,18.07,73,Clouds
2025-07-20 03:00:00,17.08,82,Rain
2025-07-20 06:00:00,17.1,82,Rain
2025-07-20 09:00:00,20.94,52,Clouds
2025-07-20 12:00:00,23.35,40,Clouds
2025-07-20 15:00:00,23.41,37,Clouds
2025-07-20 18:00:00,21.8,46,Clouds
2025-07-20 21:00:00,18.19,63,Clouds
2025-07-21 00:00:00,17.34,68,Clouds
2025-07-21 03:00:00,15.64,80,Clouds
2025-07-21 06:00:00,16.69,75,Clouds
2025-07-21 09:00:00,21.01,50,Clouds
2025-07-21 12:00:00,24.26,37,Clouds
2025-07-21 15:00:00,22.05,49,Clouds
2025-07-21 18:00:00,20.31,55,Rain
2025-07-21 21:00:00,17.99,67,Clouds
2025-07-22 00:00:00,17.6,60,Clouds
2025-07-22 03:00:00,17.35,61,Clouds
2025-07-22 06:00:00,17.04,72,Clouds
