Date,Temperature,Humidity,Condition
2025-07-17 09:00:00,25.11,84,Clouds
2025-07-17 12:00:00,25.58,79,Clouds
2025-07-17 15:00:00,29.7,60,Clouds
2025-07-17 18:00:00,31.96,47,Clouds
2025-07-17 21:00:00,34.42,44,Clouds
2025-07-18 00:00:00,31.5,58,Clouds
2025-07-18 03:00:00,29.32,62,Clear
2025-07-18 06:00:00,26.06,61,Clouds
2025-07-18 09:00:00,23.57,62,Clouds
2025-07-18 12:00:00,23.16,57,Clouds
2025-07-18 15:00:00,26.31,43,Clouds
2025-07-18 18:00:00,29.21,34,Clouds
2025-07-18 21:00:00,30.39,32,Clouds
2025-07-19 00:00:00,27.41,37,Clouds
2025-07-19 03:00:00,25.52,40,Clouds
2025-07-19 06:00:00,23.91,46,Clouds
2025-07-19 09:00:00,22.19,48,Clouds
2025-07-19 12:00:00,22.76,45,Clouds
2025-07-19 15:00:00,27.58,32,Clouds
2025-07-19 18:00:00,27.46,42,Clouds
2025-07-19 21:00:00,29.14,40,Clouds
2025-07-20 00:00:00,26.52,56,Clouds
2025-07-20 03:00:00,25.77,57,Clouds
2025-07-20 06:00:00,24.65,66,Clouds
2025-07-20 09:00:00,23.94,70,Clouds
2025-07-20 12:00:00,24.88,70,Clouds
2025-07-20 15:00:00,27.75,61,Rain
2025-07-20 18:00:00,26.98,69,Rain
2025-07-20 21:00:00,29.84,57,Rain
2025-07-21 00:00:00,26.5,75,Rain
2025-07-21 03:00:00,25.22,77,Rain
2025-07-21 06:00:00,23.9,72,Clouds
2025-07-21 09:00:00,22.34,72,Clouds
2025-07-21 12:00:00,23.75,56,Clouds
2025-07-21 15:00:00,27.63,38,Clear
2025-07-21 18:00:00,29.51,36,Clear
2025-07-21 21:00:00,28.13,44,Clear
2025-07-22 00:00:00,25.16,54,Clear
2025-07-22 03:00:00,23.67,66,Clear
2025-07-22 06:00:00,22.81,70,Clear
