Date,Temperature,Humidity,Condition
2025-07-17 09:00:00,29.86,59,Clouds
2025-07-17 12:00:00,28.44,66,Clouds
2025-07-17 15:00:00,26.61,74,Clouds
2025-07-17 18:00:00,25.81,77,Clouds
2025-07-17 21:00:00,26.2,73,Clouds
2025-07-18 00:00:00,28.79,62,Clouds
2025-07-18 03:00:00,30.71,55,Clouds
2025-07-18 06:00:00,30.54,53,Clouds
2025-07-18 09:00:00,27.94,71,Clouds
2025-07-18 12:00:00,27.08,74,Clouds
2025-07-18 15:00:00,26.45,73,Clouds
2025-07-18 18:00:00,25.68,77,Clouds
2025-07-18 21:00:00,25.98,72,Clouds
2025-07-19 00:00:00,28.89,57,Clouds
2025-07-19 03:00:00,31.46,48,Clear
2025-07-19 06:00:00,31.75,50,Clouds
2025-07-19 09:00:00,29.2,63,Clear
2025-07-19 12:00:00,27.53,72,Clear
2025-07-19 15:00:00,26.93,76,Clear
2025-07-19 18:00:00,26.45,78,Clouds
2025-07-19 21:00:00,26.58,74,Clouds
2025-07-20 00:00:00,29.0,61,Clouds
2025-07-20 03:00:00,31.65,51,Clouds
2025-07-20 06:00:00,31.61,52,Clouds
2025-07-20 09:00:00,29.33,62,Clouds
2025-07-20 12:00:00,27.63,74,Clouds
2025-07-20 15:00:00,27.07,76,Clouds
2025-07-20 18:00:00,26.6,78,Clouds
2025-07-20 21:00:00,26.84,75,Clouds
2025-07-21 00:00:00,29.72,62,Clouds
2025-07-21 03:00:00,32.29,52,Clouds
2025-07-21 06:00:00,32.55,44,Clouds
2025-07-21 09:00:00,29.78,58,Clear
2025-07-21 12:00:00,27.96,72,Clouds
2025-07-21 15:00:00,27.23,73,Clouds
2025-07-21 18:00:00,26.69,74,Clouds
2025-07-21 21:00:00,26.95,73,Clear
2025-07-22 00:00:00,29.48,62,Clear
2025-07-22 03:00:00,32.03,46,Clear
2025-07-22 06:00:00,32.14,46,Clear
